A|1|1|2026-05-23 12:37:56|null
A|1234|2|2026-05-14 00:49:29|null
A|1|3|2026-05-23 12:38:50|null
A|1|5|2026-05-14 00:50:00|null
H|12345|3|2026-05-14 00:49:33|2026-05-14 00:49:45
H|123|1|2026-05-14 00:48:55|2026-05-14 00:51:03
H||1|2026-05-14 00:58:13|2026-05-14 01:01:22
H|12345|3|2026-05-14 00:49:55|2026-05-23 12:10:00
H|1|1|2026-05-23 12:15:13|2026-05-23 12:37:49
H|1|6|2026-05-14 00:58:25|2026-05-23 12:38:46
H|123456|4|2026-05-14 00:49:39|2026-05-23 12:39:16
H|1|4|2026-05-23 12:39:19|2026-05-23 12:46:40
